00TI               20251126                                                                                   
0601TIA0N       20260101000000100000025000 0000000000000150   
0601TIA0N       20260101000025100000005000 0000000000000120   
0601TIA0N       20260101000030100000005000 0000000000000100   
0601TIA0N       20260101000035100000005000 0000000000000090   
0601TIA0N       20260101000040100000005000 0000000000000080   
0601TIA0N       20260101000045100000005000 0000000000000070   
0601TIA0N       20260101000050100000005000 0000000000000060   
0601TIA0N       20260101000055100000005000 0000000000000060   
0601TIA0N       20260101000060100000005000 0000000000000050   
0601TIA0N       20260101000065100000005000 0000000000000050   
0601TIA0N       20260101000070100000005000 0000000000000050   
0601TIA0N       20260101000075100000005000 0000000000000040   
0601TIA0N       20260101000080100000005000 0000000000000040   
0601TIA0N       20260101000085100000005000 0000000000000040   
0601TIA0N       20260101000090100000005000 0000000000000040   
0601TIA0N       20260101000095100000005000 0000000000000030   
0601TIA0N       20260101000100100000005000 0000000000000030   
0601TIA0N       20260101000105100000005000 0000000000000030   
0601TIA0N       20260101000110100000005000 0000000000000030   
0601TIA0N       20260101000115100000005000 0000000000000030   
0601TIA0N       20260101000120100000005000 0000000000000030   
0601TIA0N       20260101000125100000005000 0000000000000030   
0601TIA0N       20260101000130100000005000 0000000000000030   
0601TIA0N       20260101000135100000005000 0000000000000020   
0601TIA0N       20260101000140100000005000 0000000000000020   
0601TIA0N       20260101000145100000005000 0000000000000020   
0601TIA0N       20260101000150100000005000 0000000000000020   
0601TIA0N       20260101000155100000005000 0000000000000020   
0601TIA0N       20260101000160100000005000 0000000000000020   
0601TIA0N       20260101000165100000005000 0000000000000050   
0601TIA0N       20260101000170100000005000 0000000000000070   
0601TIA0N       20260101000175100000005000 0000000000000090   
0601TIA0N       20260101000180100000005000 0000000000000110   
0601TIA0N       20260101000185100000005000 0000000000000130   
0601TIA0N       20260101000190100000005000 0000000000000150   
0601TIA0N       20260101000195100000005000 0000000000000170   
0601TIA0N       20260101000200100000005000 0000000000000180   
0601TIA0N       20260101000205100000005000 0000000000000200   
0601TIA0N       20260101000210100000005000 0000000000000210   
0601TIA0N       20260101000215100000005000 0000000000000230   
0601TIA0N       20260101000220100000005000 0000000000000240   
0601TIA0N       20260101000225100000005000 0000000000000260   
0601TIA0N       20260101000230100000005000 0000000000000270   
0601TIA0N       20260101000235100000005000 0000000000000280   
0601TIA0N       20260101000240100000005000 0000000000000300   
0601TIA0N       20260101000245100000005000 0000000000000320   
0601TIA0N       20260101000250100000005000 0000000000000320   
0601TIA0N       20260101000255100000005000 0000000000000330   
0601TIA0N       20260101000260100000005000 0000000000000340   
0601TIA0N       20260101000265100000005000 0000000000000340   
0601TIA0N       20260101000270100000005000 0000000000000350   
0601TIA0N       20260101000275100000005000 0000000000000360   
0601TIA0N       20260101000280100000005000 0000000000000360   
0601TIA0N       20260101000285100000005000 0000000000000370   
0601TIA0N       20260101000290100000005000 0000000000000370   
0601TIA0N       20260101000295100000005000 0000000000000380   
0601TIA0N       20260101000300100000005000 0000000000000400   
0601TIA0N       20260101000305100000005000 0000000000000410   
0601TIA0N       20260101000310100000005000 0000000000000420   
0601TIA0N       20260101000315100000005000 0000000000000430   
0601TIA0N       20260101000320100000005000 0000000000000450   
0601TIA0N       20260101000325100000005000 0000000000000460   
0601TIA0N       20260101000330100000005000 0000000000000470   
